,Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight,K-means Position,
0,A.J. Hammons,0.05,0.21,0.13,0.04,0,0.07,0.16,0.41,0.5,0.38,0.46,0.45,198,99,2,
1,A.J. Price,0.02,0.09,0.06,0.23,0.01,0,0.11,0.36,0.24,0.44,0.41,0.63,213,124,0,
2,Aaron Brooks,0.02,0.06,0.04,0.24,0.01,0.01,0.15,0.4,0.35,0.44,0.48,0.84,183,73,1,
3,Aaron Gordon,0.07,0.18,0.12,0.09,0.01,0.02,0.1,0.46,0.29,0.52,0.5,0.7,206,99,2,
4,Aaron Gray,0.14,0.23,0.19,0.1,0.01,0.02,0.23,0.51,0,0.51,0.51,0.56,213,122,3,
5,Aaron Harrison,0.02,0.16,0.09,0.13,0.02,0,0.07,0.13,0.15,0.11,0.17,0.46,198,95,7,
7,Acie Law,0.02,0.07,0.04,0.18,0.02,0,0.17,0.41,0.21,0.46,0.44,0.76,190,88,1,
8,Adam Morrison,0.04,0.12,0.08,0.1,0.01,0,0.13,0.36,0.29,0.39,0.41,0.66,203,92,0,
10,Adonis Thomas,0,0.08,0.04,0.14,0,0,0.08,0.45,0.23,0.57,0.5,1,201,90,5,
11,Adreian Payne,0.07,0.19,0.13,0.06,0.02,0.02,0.12,0.38,0.14,0.42,0.39,0.64,208,107,2,
13,Al Harrington,0.05,0.17,0.11,0.09,0.02,0,0.11,0.41,0.35,0.46,0.49,0.73,206,104,5,
14,Al Horford,0.08,0.21,0.15,0.15,0.01,0.03,0.12,0.53,0.34,0.54,0.54,0.75,208,111,2,
15,Al Jefferson,0.08,0.25,0.16,0.11,0.01,0.03,0.07,0.5,0.12,0.5,0.5,0.72,208,131,3,
16,Al Thornton,0.05,0.12,0.09,0.07,0.01,0.01,0.12,0.47,0.25,0.48,0.48,0.75,203,99,5,
17,Alan Anderson,0.02,0.1,0.06,0.08,0.01,0,0.09,0.39,0.34,0.44,0.48,0.8,198,99,5,
18,Alan Williams,0.18,0.35,0.26,0.08,0.02,0.05,0.14,0.47,0,0.47,0.47,0.63,198,90,3,
19,Alando Tucker,0.08,0.06,0.07,0.05,0,0,0.08,0.42,0.22,0.46,0.44,0.79,203,86,5,
20,Alec Burks,0.04,0.12,0.08,0.13,0.01,0.01,0.12,0.42,0.36,0.44,0.46,0.76,198,97,5,
21,Alex Abrines,0.02,0.07,0.05,0.06,0.02,0.01,0.08,0.39,0.38,0.43,0.53,0.9,198,86,5,
22,Alex Acker,0.03,0.1,0.07,0.1,0.03,0.02,0.06,0.39,0.26,0.46,0.42,0.5,196,83,4,
24,Alex Len,0.11,0.23,0.17,0.04,0.01,0.04,0.17,0.46,0.24,0.47,0.46,0.7,216,117,3,
