Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Jerome James,0.05,0.47,0.25,0,0.03,0.04,0.06,0.69,,0.69,0.69,1,213,136
Jerome Jordan,0.15,0.15,0.15,0.06,0.01,0.04,0.11,0.52,,0.52,0.52,0.83,213,114
Jerrelle Benimon,0.39,0.77,0.58,0,0,0,1,,,,,,203,111
Jerry Smith,0.05,0.13,0.09,0.13,0.06,0,0,0.21,0.17,0.25,0.25,,188,86
Jerry Stackhouse,0.03,0.09,0.06,0.11,0.01,0.01,0.13,0.35,0.29,0.38,0.41,0.86,198,98
Jerryd Bayless,0.02,0.1,0.06,0.23,0.01,0,0.16,0.4,0.34,0.42,0.45,0.82,190,90
Jimmer Fredette,0.01,0.06,0.03,0.14,0.02,0,0.17,0.47,0.42,0.42,0.59,0.88,188,88
Jimmy Butler,0.05,0.11,0.08,0.14,0.02,0.01,0.1,0.44,0.32,0.47,0.47,0.81,201,99
Joakim Noah,0.14,0.23,0.19,0.16,0.01,0.03,0.18,0.49,0,0.49,0.49,0.66,211,104
Jodie Meeks,0.01,0.11,0.06,0.08,0.02,0,0.08,0.4,0.37,0.44,0.5,0.87,193,95
Joe Alexander,0.07,0.12,0.1,0.09,0.01,0.03,0.08,0.29,0.17,0.32,0.31,0.68,203,104
Joe Crawford,0.05,0.15,0.1,0.07,0.02,0,0,0.3,0.25,0.33,0.35,1,196,95
Joe Harris,0.01,0.14,0.08,0.11,0.01,0,0.17,0.36,0.33,0.48,0.48,0.66,198,99
Joe Ingles,0.02,0.12,0.07,0.15,0.02,0,0.19,0.43,0.39,0.5,0.56,0.74,203,102
Joe Johnson,0.02,0.1,0.06,0.19,0.01,0,0.11,0.44,0.38,0.48,0.51,0.82,201,90
Joe Smith,0.09,0.2,0.14,0.07,0.01,0.03,0.13,0.39,0.2,0.39,0.39,0.8,213,106
Joe Young,0.01,0.13,0.07,0.22,0.02,0,0.11,0.36,0.22,0.43,0.4,0.77,188,81
