Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
Luke Jackson,0.04,0.14,0.09,0.13,0.02,0,0.09,0.33,0.37,0.3,0.39,0.7,206,108
Luke Ridnour,0.02,0.08,0.05,0.26,0.02,0.01,0.15,0.42,0.34,0.45,0.47,0.8,188,79
Luke Walton,0.05,0.12,0.09,0.19,0.01,0.01,0.21,0.39,0.3,0.42,0.43,0.63,203,106
Luke Zeller,0.02,0.18,0.1,0.08,0,0,0,0.35,0.2,0.38,0.37,,211,111
Luol Deng,0.05,0.14,0.1,0.12,0.01,0.01,0.1,0.44,0.34,0.47,0.48,0.77,206,99
Luther Head,0.02,0.1,0.06,0.17,0.02,0.01,0.14,0.4,0.37,0.43,0.48,0.79,190,83
Maalik Wayns,0,0.09,0.05,0.25,0.05,0,0.09,0.37,0.25,0.41,0.41,0.92,188,90
Maceo Baston,0.11,0.18,0.14,0.05,0.01,0.03,0.15,0.61,0,0.62,0.61,0.67,206,97
Malachi Richardson,0.02,0.12,0.07,0.09,0.01,0.01,0.1,0.41,0.29,0.5,0.47,0.79,198,92
Malcolm Brogdon,0.03,0.1,0.06,0.24,0.02,0.01,0.14,0.46,0.4,0.48,0.52,0.87,196,97
Malcolm Delaney,0.01,0.1,0.06,0.23,0.02,0,0.18,0.37,0.24,0.43,0.41,0.81,190,86
Malcolm Lee,0.03,0.06,0.05,0.1,0.01,0.01,0.1,0.26,0.27,0.28,0.28,0.71,196,90
Malcolm Thomas,0.09,0.26,0.18,0.07,0.01,0.04,0.22,0.34,0.17,0.37,0.35,0.44,206,102
Malik Allen,0.08,0.13,0.11,0.06,0.01,0.02,0.12,0.44,0.29,0.44,0.44,0.78,208,115
Malik Beasley,0.03,0.08,0.06,0.1,0.02,0,0.09,0.45,0.32,0.53,0.51,0.8,196,88
Malik Hairston,0.07,0.13,0.1,0.11,0.01,0.03,0.15,0.51,0.09,0.54,0.51,0.43,198,99
Malik Rose,0.05,0.19,0.12,0.11,0.01,0.01,0.19,0.34,0.07,0.36,0.34,0.76,201,113
Manny Harris,0.06,0.18,0.12,0.12,0.01,0.01,0.13,0.34,0.26,0.36,0.38,0.7,196,83
Manu Ginobili,0.03,0.13,0.08,0.27,0.03,0.01,0.16,0.45,0.37,0.5,0.53,0.83,198,92
Marc Gasol,0.06,0.2,0.13,0.16,0.01,0.04,0.13,0.5,0.22,0.51,0.51,0.78,216,115
Marcelo Huertas,0.02,0.1,0.06,0.32,0.02,0.01,0.22,0.4,0.24,0.45,0.43,0.73,190,90
Marcin Gortat,0.11,0.25,0.18,0.06,0.01,0.04,0.12,0.55,0.25,0.55,0.55,0.67,211,108
Marco Belinelli,0.01,0.09,0.05,0.11,0.01,0,0.11,0.42,0.38,0.45,0.5,0.82,196,95
Marcus Banks,0.01,0.08,0.05,0.19,0.02,0.01,0.18,0.37,0.28,0.45,0.43,0.69,188,90
Marcus Camby,0.12,0.32,0.22,0.11,0.02,0.05,0.15,0.45,0.25,0.45,0.45,0.57,211,99
Marcus Cousin,0,0.2,0.1,0,0,0.05,0.25,0.67,,0.67,0.67,,211,111
Marcus Georges-Hunt,0.02,0.19,0.1,0.08,0.01,0,0.15,0.29,0.5,0.2,0.36,0.9,196,97
Marcus Haislip,0.11,0.16,0.13,0,0,0.03,0.12,0.48,0.6,0.44,0.55,0.4,208,104
Marcus Landry,0.03,0.1,0.07,0,0,0.01,0.08,0.25,0.22,0.47,0.33,0.6,201,104
Marcus Morris,0.05,0.14,0.09,0.08,0.01,0.01,0.1,0.41,0.33,0.46,0.47,0.66,188,88
Marcus Smart,0.04,0.11,0.07,0.18,0.03,0.01,0.14,0.36,0.29,0.42,0.43,0.75,193,99
Marcus Thornton,0.04,0.11,0.07,0.1,0.02,0,0.09,0.41,0.34,0.46,0.48,0.82,193,92
Marcus Vinicius,0.02,0.12,0.07,0.04,0.01,0.01,0.11,0.45,0.42,0.5,0.58,0.46,206,97
Marcus Williams,0.04,0.12,0.08,0.17,0.01,0.06,0.08,0.36,0.34,0.36,0.39,0.6,185,89
Mardy Collins,0.03,0.1,0.07,0.19,0.02,0.01,0.19,0.38,0.27,0.4,0.4,0.59,198,99
Mario Chalmers,0.02,0.1,0.06,0.22,0.03,0.01,0.18,0.41,0.32,0.47,0.48,0.81,188,86
Mario Hezonja,0.02,0.13,0.08,0.1,0.01,0.01,0.16,0.39,0.32,0.45,0.47,0.85,203,97
Mario West,0.08,0.12,0.1,0.1,0.03,0.01,0.16,0.46,0.31,0.48,0.47,0.58,208,104
Mark Blount,0.06,0.17,0.11,0.04,0.01,0.02,0.13,0.42,0.4,0.42,0.47,0.63,213,104
Mark Madsen,0.12,0.12,0.12,0.04,0.01,0.01,0.22,0.19,,0.19,0.19,0.13,206,108
Markel Brown,0.02,0.12,0.07,0.11,0.02,0.01,0.12,0.38,0.29,0.42,0.43,0.79,190,83
Markieff Morris,0.06,0.18,0.12,0.11,0.02,0.02,0.13,0.44,0.32,0.47,0.47,0.76,188,88
Marko Jaric,0.03,0.09,0.06,0.2,0.02,0.01,0.2,0.38,0.38,0.38,0.42,0.72,201,89
Marquese Chriss,0.06,0.16,0.11,0.05,0.02,0.03,0.13,0.45,0.32,0.52,0.51,0.62,208,105
Marquis Daniels,0.04,0.11,0.07,0.12,0.02,0.01,0.13,0.44,0.19,0.47,0.45,0.7,198,90
Marquis Teague,0,0.11,0.06,0.22,0.01,0.01,0.23,0.34,0.26,0.36,0.36,0.7,188,85
Marreese Speights,0.11,0.21,0.16,0.07,0.01,0.03,0.11,0.46,0.25,0.47,0.47,0.79,208,115
Marshall Plumlee,0.15,0.18,0.16,0.08,0.01,0.02,0.24,0.53,,0.53,0.53,0.42,211,111
MarShon Brooks,0.04,0.17,0.11,0.11,0.02,0.01,0.13,0.43,0.36,0.45,0.47,0.74,196,90
Martell Webster,0.03,0.11,0.07,0.06,0.01,0.01,0.1,0.35,0.32,0.44,0.43,0.79,216,102
Marvin Williams,0.05,0.17,0.11,0.07,0.01,0.01,0.09,0.44,0.33,0.49,0.5,0.81,185,89
Mason Plumlee,0.1,0.22,0.16,0.15,0.02,0.03,0.16,0.56,0,0.57,0.56,0.59,211,111
Matt Barnes,0.05,0.17,0.11,0.12,0.02,0.02,0.15,0.43,0.33,0.52,0.51,0.77,203,95
Matt Bonner,0.04,0.15,0.1,0.07,0.01,0.01,0.07,0.46,0.41,0.51,0.58,0.76,208,106
Matt Carroll,0.02,0.09,0.06,0.09,0.01,0.01,0.13,0.38,0.26,0.42,0.42,0.86,198,96
Matt Harpring,0.08,0.13,0.11,0.08,0.02,0.01,0.12,0.48,0.1,0.49,0.48,0.74,201,104
Matthew Dellavedova,0.02,0.08,0.05,0.24,0.01,0,0.17,0.39,0.39,0.39,0.49,0.82,193,89
Maurice Ager,0.02,0.07,0.05,0.07,0,0.01,0.12,0.36,0.24,0.39,0.4,0.5,196,91
Maurice Evans,0.05,0.08,0.06,0.07,0.02,0.01,0.06,0.42,0.34,0.48,0.49,0.8,196,99
Maurice Harkless,0.06,0.12,0.09,0.06,0.02,0.02,0.12,0.46,0.29,0.54,0.5,0.59,206,97
Maurice Ndour,0.07,0.14,0.1,0.04,0.02,0.02,0.11,0.45,0.14,0.48,0.46,0.73,206,90
Mehmet Okur,0.06,0.19,0.13,0.11,0.01,0.02,0.12,0.42,0.37,0.45,0.48,0.76,211,112
Melvin Ely,0.06,0.13,0.09,0.05,0,0.02,0.13,0.48,,0.48,0.48,0.6,208,117
Metta World,0.04,0.11,0.08,0.11,0.03,0.01,0.11,0.38,0.33,0.42,0.45,0.68,190,81
Meyers Leonard,0.06,0.22,0.14,0.07,0.01,0.02,0.12,0.47,0.31,0.52,0.53,0.83,216,111
Michael Beasley,0.05,0.18,0.12,0.1,0.01,0.02,0.12,0.47,0.35,0.48,0.49,0.75,206,106
Michael Carter-Williams,0.03,0.15,0.09,0.31,0.03,0.02,0.18,0.4,0.23,0.44,0.42,0.7,198,86
Michael Doleac,0.07,0.15,0.11,0.04,0.02,0.03,0.16,0.44,,0.44,0.44,0.5,211,118
Michael Finley,0.01,0.11,0.06,0.09,0.01,0.01,0.09,0.44,0.39,0.47,0.52,0.63,201,97
Michael Gbinije,0.07,0.04,0.05,0.08,0,0,0,0.1,0,0.17,0.1,1,201,90
Michael Kidd-Gilchrist,0.07,0.19,0.13,0.08,0.01,0.02,0.1,0.48,0.22,0.49,0.49,0.71,201,105
Michael Redd,0.02,0.09,0.05,0.13,0.01,0,0.08,0.41,0.32,0.46,0.46,0.83,198,99
Michael Ruffin,0.19,0.18,0.18,0.03,0.04,0.02,0.19,0.41,,0.41,0.41,0.7,206,111
Mickael Gelabale,0.05,0.11,0.08,0.09,0.01,0.01,0.12,0.48,0.37,0.54,0.53,0.83,201,97
Mickael Pietrus,0.03,0.12,0.07,0.05,0.02,0.01,0.1,0.4,0.36,0.46,0.51,0.65,198,97
Mickell Gladness,0.06,0.26,0.16,0.05,0.01,0.05,0.22,0.4,,0.4,0.4,0.5,211,99
Mike Bibby,0.01,0.1,0.06,0.25,0.02,0,0.14,0.38,0.36,0.39,0.47,0.73,185,86
Mike Conley,0.02,0.09,0.05,0.29,0.02,0,0.14,0.44,0.37,0.47,0.49,0.81,185,79
Mike Dunleavy,0.02,0.13,0.08,0.11,0.01,0.01,0.11,0.43,0.39,0.47,0.53,0.81,190,81
Mike Harris,0.12,0.18,0.15,0.05,0.02,0.02,0.13,0.42,0,0.43,0.42,0.71,198,108
Mike James,0.02,0.08,0.05,0.21,0.02,0,0.14,0.35,0.4,0.34,0.4,0.69,188,85
Mike Miller,0.03,0.18,0.1,0.14,0.01,0,0.18,0.43,0.41,0.44,0.56,0.74,203,98
Mike Muscala,0.09,0.16,0.12,0.09,0.01,0.03,0.13,0.49,0.28,0.53,0.53,0.86,211,108
Mike Scott,0.07,0.17,0.12,0.1,0.01,0.01,0.1,0.43,0.24,0.5,0.48,0.8,203,107
Mike Taylor,0.03,0.1,0.07,0.23,0.02,0,0.19,0.41,0.33,0.43,0.44,0.69,188,74
Mike Tobey,0.09,0.04,0.07,0.05,0,0,0.2,0.25,,0.25,0.25,,213,117
Mike Wilks,0.02,0.08,0.05,0.16,0.02,0,0.2,0.49,0.39,0.5,0.55,0.88,178,83
Mikki Moore,0.08,0.16,0.12,0.07,0.01,0.02,0.18,0.55,0,0.55,0.55,0.76,211,102
Miles Plumlee,0.12,0.18,0.15,0.05,0.01,0.04,0.17,0.49,,0.49,0.49,0.58,211,112
Mindaugas Kuzminskas,0.05,0.08,0.07,0.1,0.01,0.01,0.11,0.43,0.32,0.52,0.5,0.81,206,97
Miroslav Raduljica,0.11,0.15,0.13,0.04,0.02,0.01,0.17,0.46,,0.46,0.46,0.91,213,113
Mirza Teletovic,0.04,0.17,0.11,0.08,0.01,0.01,0.1,0.4,0.36,0.47,0.51,0.76,206,109
Mitch McGary,0.09,0.22,0.16,0.05,0.01,0.02,0.17,0.51,0,0.56,0.51,0.51,208,115
Mo Williams,0.02,0.08,0.05,0.3,0.01,0,0.16,0.42,0.37,0.45,0.49,0.88,203,102
Monta Ellis,0.02,0.09,0.05,0.23,0.02,0.01,0.14,0.45,0.31,0.48,0.47,0.78,190,83
Montrezl Harrell,0.08,0.13,0.1,0.08,0.01,0.03,0.12,0.65,0.07,0.66,0.65,0.58,203,108
Morris Almond,0.02,0.1,0.06,0.06,0.03,0,0.1,0.34,0.29,0.36,0.37,0.6,198,102
Morris Peterson,0.02,0.14,0.08,0.06,0.01,0,0.05,0.4,0.29,0.44,0.48,0.67,201,98
Mouhamed Sene,0.2,0.35,0.27,0.01,0.01,0.09,0.18,0.58,,0.58,0.58,0.76,201,99
Mustafa Shakur,0.02,0.06,0.04,0.35,0.01,0.01,0.28,0.18,0.05,0.2,0.18,0.52,190,86
Mychel Thompson,0,0.06,0.03,0.12,0.01,0.01,0.17,0.29,0.36,0.23,0.38,,208,102
Myles Turner,0.06,0.2,0.13,0.06,0.01,0.06,0.1,0.5,0.28,0.52,0.52,0.77,211,110
Nando De,0.03,0.13,0.09,0.21,0.02,0.01,0.19,0.42,0.35,0.45,0.48,0.87,206,97
Nate Robinson,0.02,0.07,0.05,0.24,0.02,0,0.11,0.37,0.32,0.44,0.44,0.77,175,81
Nate Wolters,0.04,0.12,0.08,0.15,0.02,0.01,0.16,0.37,0.07,0.42,0.38,0.43,193,86
Nathan Jawai,0.1,0.11,0.1,0.04,0.01,0.01,0.25,0.35,0,0.35,0.35,0.68,208,127
Nazr Mohammed,0.12,0.2,0.16,0.04,0.01,0.03,0.16,0.49,0,0.49,0.49,0.6,208,100
Nemanja Bjelica,0.05,0.18,0.12,0.11,0.01,0.02,0.14,0.45,0.35,0.55,0.54,0.73,208,108
Nemanja Nedovic,0.02,0.09,0.06,0.12,0,0.01,0.23,0.21,0.17,0.24,0.24,0.88,190,87
Nenad Krstic,0.09,0.17,0.13,0.04,0.01,0.02,0.1,0.49,0.1,0.49,0.49,0.77,213,108
Nene Hilario,0.07,0.21,0.14,0.12,0.02,0.02,0.15,0.54,0.09,0.55,0.54,0.65,211,113
Nerlens Noel,0.09,0.22,0.15,0.09,0.03,0.04,0.14,0.55,0.17,0.55,0.55,0.66,211,103
Nick Calathes,0.02,0.12,0.07,0.27,0.03,0.01,0.21,0.44,0.28,0.47,0.47,0.57,198,96
Nick Collison,0.1,0.16,0.13,0.09,0.01,0.02,0.17,0.55,0.08,0.56,0.55,0.71,208,115
Nick Fazekas,0.14,0.24,0.19,0.05,0.01,0.02,0.08,0.51,0,0.52,0.51,0.68,211,106
Nick Johnson,0.06,0.11,0.08,0.06,0.01,0.01,0.18,0.35,0.24,0.39,0.38,0.68,190,91
Nick Young,0.02,0.08,0.05,0.07,0.01,0.01,0.09,0.41,0.37,0.43,0.48,0.84,201,95
Nicolas Batum,0.04,0.15,0.09,0.16,0.02,0.02,0.14,0.44,0.36,0.52,0.53,0.84,203,90
Nicolas Brussino,0.06,0.16,0.11,0.14,0.02,0.01,0.15,0.37,0.31,0.5,0.47,0.77,201,88
Nicolas Laprovittola,0.01,0.06,0.03,0.23,0.01,0.01,0.27,0.43,0.37,0.5,0.53,1,193,81
Nik Stauskas,0.01,0.09,0.05,0.11,0.01,0.01,0.13,0.38,0.34,0.44,0.48,0.81,198,92
Nikola Jokic,0.12,0.26,0.19,0.23,0.02,0.02,0.14,0.55,0.33,0.58,0.57,0.82,208,113
Nikola Mirotic,0.04,0.21,0.12,0.09,0.02,0.02,0.11,0.41,0.35,0.48,0.51,0.79,208,99
Nikola Pekovic,0.12,0.16,0.14,0.06,0.01,0.02,0.13,0.49,,0.49,0.49,0.77,211,139
Nikola Vucevic,0.11,0.26,0.18,0.12,0.01,0.02,0.11,0.5,0.25,0.5,0.5,0.69,213,117
Noah Vonleh,0.1,0.23,0.16,0.03,0.01,0.02,0.14,0.43,0.32,0.45,0.45,0.69,208,108
Nolan Smith,0.03,0.08,0.06,0.19,0.02,0,0.18,0.37,0.25,0.41,0.4,0.71,188,83
Norman Powell,0.02,0.13,0.08,0.1,0.02,0.01,0.11,0.44,0.36,0.48,0.5,0.8,193,97
Norris Cole,0.01,0.09,0.05,0.19,0.02,0,0.15,0.4,0.31,0.43,0.44,0.75,188,79
O.J. Mayo,0.02,0.1,0.06,0.16,0.02,0.01,0.14,0.42,0.37,0.45,0.49,0.81,201,99
Ognjen Kuzmic,0.11,0.14,0.13,0.07,0.02,0.02,0.31,0.53,,0.53,0.53,0.73,216,113
Okaro White,0.06,0.14,0.1,0.06,0.01,0.02,0.16,0.38,0.35,0.4,0.45,0.91,203,92
Oleksiy Pecherov,0.1,0.19,0.15,0.03,0.01,0.02,0.11,0.38,0.29,0.44,0.44,0.79,213,105
Oliver Lafayette,0.06,0.16,0.11,0.14,0,0,0.14,0.5,0.5,0.5,0.58,,188,86
Omer Asik,0.13,0.27,0.2,0.04,0.01,0.03,0.2,0.52,0,0.52,0.52,0.55,213,115
Omri Casspi,0.05,0.15,0.1,0.08,0.02,0.01,0.13,0.46,0.36,0.5,0.52,0.64,206,102
Orien Greene,0,0.06,0.03,0.22,0.07,0.01,0.19,0.39,0,0.4,0.39,0.5,193,94
Orlando Johnson,0.04,0.12,0.08,0.07,0.01,0.02,0.1,0.29,0.22,0.33,0.33,0.69,196,99
Othella Harrington,0.08,0.22,0.15,0.04,0,0.02,0.18,0.43,,0.43,0.43,0.63,206,106
Othello Hunter,0.16,0.2,0.18,0.01,0.01,0.03,0.13,0.44,,0.44,0.44,0.38,203,102
Othyus Jeffers,0.05,0.2,0.12,0.07,0.01,0,0.16,0.4,0.1,0.54,0.4,0.71,196,90
Otto Porter,0.06,0.14,0.1,0.07,0.02,0.01,0.09,0.45,0.33,0.5,0.51,0.75,203,89
P.J. Brown,0.18,0.21,0.19,0.07,0.01,0.03,0.17,0.34,0,0.35,0.34,0.69,229,106
P.J. Hairston,0.02,0.12,0.07,0.05,0.01,0.01,0.09,0.35,0.28,0.43,0.43,0.79,206,102
P.J. Tucker,0.06,0.17,0.11,0.07,0.02,0.01,0.12,0.43,0.35,0.46,0.49,0.75,206,97
Pablo Prigioni,0.03,0.09,0.06,0.23,0.03,0,0.22,0.41,0.36,0.53,0.53,0.87,190,83
Pape Sy,0.12,0.06,0.09,0.15,0.03,0,0.29,0.33,0,0.4,0.33,1,201,102
Pascal Siakam,0.08,0.16,0.12,0.03,0.02,0.05,0.13,0.5,0.14,0.52,0.51,0.69,206,104
Pat Connaughton,0.06,0.15,0.11,0.11,0.01,0,0.17,0.39,0.38,0.4,0.47,0.89,196,93
Pat Garrity,0.04,0.14,0.09,0.07,0.01,0,0.17,0.34,0.22,0.44,0.39,0.8,206,107
Patricio Garino,0.03,0.16,0.09,0,0,0,0.3,0,0,0,0,,198,95
Patrick Beverley,0.05,0.11,0.08,0.18,0.02,0.01,0.14,0.41,0.37,0.46,0.51,0.77,185,83
Patrick Christopher,0.08,0.16,0.12,0,0.02,0,0.08,0.25,0,0.38,0.25,,196,94
Patrick Ewing,0.06,0.06,0.06,0.14,0,0.04,0.13,0,0,0,0,0.75,213,108
Patrick McCaw,0.02,0.08,0.05,0.09,0.01,0.01,0.12,0.43,0.33,0.53,0.52,0.78,201,83
Patrick O'Bryant,0.07,0.23,0.15,0.06,0.02,0.06,0.2,0.54,0,0.55,0.54,0.54,213,117
Patrick Patterson,0.08,0.16,0.12,0.08,0.01,0.02,0.1,0.47,0.3,0.51,0.52,0.74,206,104
Patty Mills,0.02,0.07,0.05,0.21,0.02,0,0.12,0.44,0.41,0.48,0.53,0.82,203,111
Pau Gasol,0.08,0.22,0.16,0.16,0.01,0.03,0.11,0.51,0.29,0.52,0.52,0.78,213,113
Paul Davis,0.08,0.09,0.09,0.3,0.01,0.04,0.07,0.43,0,0.43,0.43,0.63,211,122
Paul George,0.03,0.18,0.11,0.15,0.03,0.01,0.14,0.43,0.37,0.46,0.5,0.82,206,99
Paul Millsap,0.09,0.2,0.15,0.13,0.02,0.03,0.12,0.49,0.24,0.51,0.51,0.74,203,111
Paul Pierce,0.02,0.16,0.09,0.16,0.02,0.01,0.14,0.44,0.37,0.49,0.52,0.82,201,106
Paul Zipser,0.02,0.14,0.08,0.06,0.01,0.02,0.14,0.4,0.33,0.45,0.47,0.78,203,97
Peja Stojakovic,0.02,0.12,0.07,0.08,0.01,0,0.08,0.46,0.45,0.48,0.59,0.92,206,99
Pero Antic,0.07,0.16,0.12,0.08,0.01,0.01,0.13,0.39,0.31,0.5,0.48,0.74,211,117
Perry Jones,0.04,0.14,0.09,0.05,0.01,0.02,0.11,0.42,0.2,0.46,0.45,0.66,211,106
Peyton Siva,0.01,0.06,0.03,0.21,0.02,0,0.22,0.32,0.28,0.34,0.38,0.73,183,83
Phil Pressey,0.02,0.1,0.06,0.36,0.03,0.01,0.25,0.37,0.21,0.42,0.4,0.58,180,79
Pierre Jackson,0.01,0.12,0.06,0.38,0.01,0,0.07,0.33,0.27,0.36,0.37,0.86,178,81
Pops Mensah-Bonsu,0.18,0.24,0.21,0.05,0.02,0.03,0.18,0.41,0,0.41,0.41,0.61,206,108
Primoz Brezec,0.11,0.14,0.13,0.03,0.01,0.02,0.13,0.45,,0.45,0.45,0.43,218,114
Quentin Richardson,0.06,0.17,0.11,0.07,0.01,0,0.11,0.33,0.33,0.35,0.42,0.79,198,101
Quincy Acy,0.07,0.18,0.13,0.05,0.01,0.02,0.12,0.45,0.34,0.48,0.5,0.72,201,108
Quincy Douby,0.03,0.09,0.06,0.15,0.01,0.01,0.13,0.42,0.34,0.47,0.48,0.88,190,79
Quincy Miller,0.04,0.13,0.09,0.1,0.02,0.03,0.11,0.28,0.16,0.33,0.32,0.67,206,95
Quincy Pondexter,0.04,0.09,0.06,0.07,0.01,0.01,0.1,0.41,0.35,0.47,0.49,0.73,201,99
Quinn Cook,0.01,0.04,0.02,0.23,0.01,0,0.17,0.49,0.43,0.55,0.58,0.36,188,83
Quinton Ross,0.03,0.08,0.06,0.05,0.01,0.01,0.09,0.38,0.23,0.41,0.4,0.59,198,88
R.J. Hunter,0,0.12,0.06,0.03,0.01,0.01,0.05,0.18,0.15,0.49,0.23,0.86,201,104
Raef LaFrentz,0.11,0.16,0.14,0.03,0.02,0.05,0.13,0.44,0,0.47,0.44,0.58,211,108
Rafer Alston,0.01,0.09,0.05,0.24,0.02,0,0.15,0.37,0.34,0.39,0.44,0.72,188,77
Raja Bell,0.02,0.1,0.06,0.11,0.01,0,0.08,0.46,0.47,0.45,0.57,0.89,196,92
Rajon Rondo,0.04,0.14,0.09,0.43,0.03,0,0.22,0.45,0.29,0.47,0.47,0.56,185,84
Rakeem Christmas,0.16,0.08,0.12,0.01,0,0.01,0.06,0.72,,0.72,0.72,0.72,206,113
Ramon Sessions,0.02,0.11,0.06,0.29,0.01,0,0.16,0.42,0.31,0.44,0.45,0.78,190,86
Randolph Morris,0.07,0.21,0.14,0.03,0.02,0.01,0.19,0.45,,0.45,0.45,0.69,208,120
Randy Foye,0.01,0.09,0.05,0.17,0.01,0.01,0.13,0.39,0.35,0.42,0.47,0.84,193,96
Rashad McCants,0.02,0.1,0.06,0.12,0.02,0.01,0.11,0.41,0.35,0.45,0.48,0.76,193,93
Rashad Vaughn,0.01,0.1,0.06,0.06,0.02,0.02,0.09,0.34,0.31,0.37,0.42,0.6,198,91
Rashard Lewis,0.04,0.13,0.09,0.08,0.02,0.01,0.12,0.43,0.36,0.48,0.51,0.79,198,90
Rasheed Wallace,0.04,0.24,0.14,0.07,0.02,0.04,0.08,0.41,0.33,0.48,0.48,0.75,208,102
Rasho Nesterovic,0.1,0.15,0.12,0.11,0.01,0.03,0.11,0.54,0.17,0.54,0.54,0.58,213,112
Rasual Butler,0.02,0.11,0.06,0.06,0.01,0.02,0.08,0.41,0.37,0.44,0.5,0.71,201,97
Raul Neto,0.01,0.08,0.05,0.17,0.03,0.01,0.17,0.44,0.36,0.49,0.51,0.82,185,81
Ray Allen,0.02,0.09,0.06,0.12,0.01,0,0.11,0.46,0.41,0.51,0.56,0.91,203,99
Ray McCallum,0.02,0.09,0.06,0.2,0.01,0.01,0.13,0.39,0.35,0.4,0.43,0.74,190,86
Raymond Felton,0.02,0.09,0.06,0.29,0.02,0.01,0.16,0.42,0.33,0.45,0.47,0.78,185,92
Reggie Bullock,0.02,0.14,0.08,0.05,0.01,0.01,0.09,0.34,0.3,0.4,0.43,0.73,201,92
Reggie Evans,0.15,0.29,0.22,0.04,0.02,0.01,0.22,0.45,0.25,0.46,0.46,0.54,203,111
Reggie Jackson,0.03,0.11,0.07,0.3,0.02,0,0.15,0.42,0.3,0.47,0.46,0.85,190,94
Reggie Williams,0.03,0.1,0.06,0.13,0.02,0,0.09,0.44,0.33,0.52,0.51,0.77,201,86
Renaldo Balkman,0.07,0.15,0.11,0.06,0.03,0.02,0.13,0.45,0.27,0.46,0.48,0.61,203,94
Richard Hamilton,0.03,0.08,0.05,0.22,0.01,0,0.12,0.44,0.36,0.46,0.47,0.84,198,83
Richard Jefferson,0.02,0.12,0.07,0.09,0.01,0.01,0.11,0.45,0.39,0.48,0.53,0.73,201,105
Richaun Holmes,0.09,0.16,0.12,0.08,0.02,0.04,0.11,0.54,0.27,0.6,0.56,0.69,208,111
Richie Frahm,0.03,0.07,0.05,0.08,0.01,0,0.1,0.37,0.28,0.45,0.44,0,196,95
Ricky Davis,0.02,0.1,0.06,0.15,0.01,0,0.15,0.4,0.37,0.42,0.47,0.74,198,88
Ricky Ledo,0.06,0.09,0.08,0.12,0.01,0,0.18,0.26,0.29,0.25,0.31,0.74,201,88
Ricky Rubio,0.03,0.13,0.08,0.4,0.03,0,0.21,0.37,0.31,0.39,0.41,0.82,193,87
Rob Kurz,0.08,0.12,0.1,0.07,0.02,0.03,0.1,0.39,0.4,0.39,0.45,0.8,206,105
Robbie Hummel,0.05,0.17,0.11,0.05,0.01,0.01,0.07,0.42,0.34,0.46,0.49,0.88,203,97
Robert Covington,0.05,0.16,0.1,0.06,0.03,0.01,0.12,0.4,0.36,0.51,0.52,0.81,206,97
Robert Horry,0.07,0.15,0.11,0.12,0.02,0.03,0.14,0.32,0.26,0.41,0.4,0.64,206,99
Robert Sacre,0.08,0.15,0.11,0.06,0.01,0.03,0.12,0.42,0,0.42,0.42,0.66,213,122
Robert Swift,0.07,0.18,0.12,0.03,0.02,0.04,0.23,0.44,,0.44,0.44,0.88,213,111
Robin Lopez,0.12,0.14,0.13,0.04,0.01,0.04,0.12,0.52,0,0.53,0.52,0.75,213,115
Rodney Carney,0.07,0.1,0.09,0.04,0.03,0.01,0.08,0.4,0.31,0.45,0.46,0.72,201,92
Rodney Hood,0.01,0.12,0.07,0.13,0.01,0.01,0.1,0.41,0.37,0.46,0.5,0.8,203,93
Rodney McGruder,0.05,0.09,0.07,0.09,0.01,0.01,0.1,0.41,0.33,0.49,0.49,0.62,193,92
Rodney Stuckey,0.03,0.1,0.06,0.21,0.02,0,0.13,0.42,0.28,0.44,0.44,0.82,196,95
Rodrigue Beaubois,0.02,0.11,0.06,0.21,0.02,0.01,0.15,0.43,0.32,0.49,0.49,0.8,183,77
Roger Mason,0.01,0.11,0.06,0.11,0.01,0.01,0.1,0.4,0.38,0.43,0.51,0.85,196,90
Roko Ukic,0.02,0.05,0.03,0.24,0.01,0,0.15,0.42,0.21,0.52,0.46,0.78,196,83
Ron Baker,0.02,0.11,0.06,0.17,0.02,0.01,0.19,0.38,0.27,0.45,0.43,0.65,193,99
Ronald Dupree,0.03,0.27,0.15,0.06,0.01,0,0,0.31,0,0.33,0.31,1,201,94
Ronald Murray,0.02,0.09,0.06,0.2,0.02,0.01,0.13,0.41,0.32,0.44,0.45,0.71,193,86
Rondae Hollis-Jefferson,0.06,0.21,0.14,0.12,0.03,0.02,0.15,0.45,0.26,0.47,0.46,0.73,201,99
Ronnie Brewer,0.04,0.1,0.07,0.09,0.03,0.01,0.1,0.38,0.23,0.41,0.4,0.51,193,81
Ronnie Price,0.03,0.08,0.05,0.2,0.03,0.01,0.18,0.35,0.28,0.39,0.41,0.74,188,86
Ronny Turiaf,0.07,0.17,0.12,0.1,0.02,0.05,0.23,0.6,0,0.61,0.6,0.58,208,112
Roy Hibbert,0.1,0.17,0.13,0.09,0.01,0.06,0.15,0.5,0.16,0.5,0.5,0.76,218,122
Royal Ivey,0.02,0.1,0.06,0.09,0.02,0,0.1,0.35,0.33,0.37,0.43,0.68,190,90
Royce White,0,0,0,0,0,0,0,0,,0,0,,203,95
Ruben Patterson,0.08,0.14,0.11,0.09,0.03,0.02,0.21,0.45,0,0.46,0.45,0.56,196,101
